boletin,topic,role,method,confidence,needs_review,reviewer,taxonomy_version
18169-07,Salud,secundario,revision_semantica,0.91,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18169-07,Transportes y telecomunicaciones,secundario,revision_semantica,0.91,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18170-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18171-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18175-02,Defensa,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18174-07,Constitución y justicia,principal,hibrido_institucional_texto,0.843,0,,institutional-hybrid-v0.3
18174-07,Educación,secundario,hibrido_institucional_texto,0.843,0,,institutional-hybrid-v0.3
18176-35,Personas mayores y discapacidad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18177-01,Agricultura y mundo rural,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18179-18,"Familia, infancia y adolescencia",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18180-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18181-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18182-07,Constitución y justicia,principal,revision_semantica,0.97,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18183-07,Constitución y justicia,principal,revision_semantica,0.94,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18183-07,Relaciones exteriores,secundario,revision_semantica,0.94,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18184-07,Constitución y justicia,principal,revision_semantica,0.94,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18184-07,Relaciones exteriores,secundario,revision_semantica,0.94,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18185-07,Infraestructura y obras públicas,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18185-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18186-07,Constitución y justicia,principal,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18186-07,Gobierno interior y descentralización,secundario,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18187-07,Constitución y justicia,principal,revision_semantica,0.94,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18187-07,Economía y hacienda,secundario,revision_semantica,0.94,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18188-07,Constitución y justicia,principal,revision_semantica,0.94,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18188-07,"Economía, comercio y consumidores",secundario,revision_semantica,0.94,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18178-10,Relaciones exteriores,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18189-14,Vivienda y territorio,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18190-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18191-37,"Cultura, patrimonio y deporte",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18192-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18193-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18194-08,Minería y energía,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18195-07,Administración parlamentaria,principal,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18195-07,Constitución y justicia,secundario,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18195-07,Seguridad,secundario,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18196-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18197-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18197-04,Economía y hacienda,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18198-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18198-15,Pesca y acuicultura,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18205-29,Deportes,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18214-07,Trabajo y seguridad social,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18214-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18206-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18243-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18199-12,Medio ambiente,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18200-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18201-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18202-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18203-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18204-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18207-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18208-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18209-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18221-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18210-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18212-07,Constitución y justicia,principal,hibrido_institucional_texto,0.888,0,,institutional-hybrid-v0.3
18220-07,Constitución y justicia,principal,hibrido_institucional_texto,0.889,0,,institutional-hybrid-v0.3
18211-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18215-10,Relaciones exteriores,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18216-05,Economía y hacienda,principal,revision_semantica,0.91,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18216-05,Trabajo y seguridad social,secundario,revision_semantica,0.91,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18216-05,Desarrollo social,secundario,revision_semantica,0.91,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18216-05,Infraestructura y obras públicas,secundario,revision_semantica,0.91,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18217-07,Seguridad,principal,revision_semantica,0.99,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18217-07,Constitución y justicia,secundario,revision_semantica,0.99,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18218-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18219-07,Constitución y justicia,principal,revision_semantica,0.91,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18219-07,Trabajo y seguridad social,secundario,revision_semantica,0.91,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18219-07,Gobierno interior y descentralización,secundario,revision_semantica,0.91,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18222-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18222-06,Mujeres y género,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18233-07,Constitución y justicia,principal,hibrido_institucional_texto,0.915,0,,institutional-hybrid-v0.3
18223-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18224-18,"Familia, infancia y adolescencia",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18224-18,Ciencia y tecnología,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18225-07,Transportes y telecomunicaciones,principal,hibrido_institucional_texto,0.897,0,,institutional-hybrid-v0.3
18225-07,Personas mayores y discapacidad,secundario,hibrido_institucional_texto,0.897,0,,institutional-hybrid-v0.3
18225-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.897,0,,institutional-hybrid-v0.3
18226-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18227-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18228-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18228-04,Ciencia y tecnología,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18229-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18234-35,Personas mayores y discapacidad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18235-19,Ciencia y tecnología,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18230-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18230-13,Economía y hacienda,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18231-35,Personas mayores y discapacidad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18232-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18236-18,"Familia, infancia y adolescencia",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18236-18,Mujeres y género,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18237-33,Agua y recursos hídricos,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18238-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18240-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18241-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18244-07,Seguridad,principal,revision_semantica,0.99,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18244-07,Constitución y justicia,secundario,revision_semantica,0.99,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18245-12,Medio ambiente,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18239-36,"Familia, infancia y adolescencia",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18242-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18246-18,"Familia, infancia y adolescencia",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18246-18,Ciencia y tecnología,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18247-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18248-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18248-07,Mujeres y género,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18249-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18250-07,Seguridad,principal,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18250-07,Constitución y justicia,secundario,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18251-07,Vivienda y territorio,principal,revision_semantica,0.95,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18251-07,Constitución y justicia,secundario,revision_semantica,0.95,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18251-07,Economía y hacienda,secundario,revision_semantica,0.95,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18252-07,Constitución y justicia,principal,hibrido_institucional_texto,0.803,0,,institutional-hybrid-v0.3
18252-07,Trabajo y seguridad social,secundario,hibrido_institucional_texto,0.803,0,,institutional-hybrid-v0.3
18262-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18263-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18264-07,Constitución y justicia,principal,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18264-07,Gobierno interior y descentralización,secundario,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18265-07,Seguridad,principal,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18265-07,Constitución y justicia,secundario,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18266-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18463-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18253-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18254-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18267-24,Cultura y comunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18268-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18269-01,Agricultura y mundo rural,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18270-25,Seguridad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18271-07,Relaciones exteriores,principal,hibrido_institucional_texto,0.763,0,,institutional-hybrid-v0.3
18271-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.763,0,,institutional-hybrid-v0.3
18281-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18282-07,"Familia, infancia y adolescencia",principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18282-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18283-35,Personas mayores y discapacidad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18283-35,Trabajo y seguridad social,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18284-29,Deportes,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18255-31,Desarrollo social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18256-10,Relaciones exteriores,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18257-10,Relaciones exteriores,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18258-07,Seguridad,principal,hibrido_institucional_texto,0.87,0,,institutional-hybrid-v0.3
18258-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.87,0,,institutional-hybrid-v0.3
18259-08,Minería y energía,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18259-08,Economía y hacienda,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18285-05,Economía y hacienda,principal,revision_semantica,0.99,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18285-05,Gobierno interior y descentralización,secundario,revision_semantica,0.99,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18290-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18260-07,"Familia, infancia y adolescencia",principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18260-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18261-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18272-37,"Cultura, patrimonio y deporte",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18273-21,Pesca y acuicultura,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18274-07,Constitución y justicia,principal,hibrido_institucional_texto,0.884,0,,institutional-hybrid-v0.3
18275-12,Medio ambiente,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18276-07,Constitución y justicia,principal,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18276-07,Trabajo y seguridad social,secundario,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18277-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18278-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18289-01,Agricultura y mundo rural,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18288-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18287-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18291-07,Seguridad,principal,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18291-07,Constitución y justicia,secundario,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18292-07,Seguridad,principal,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18292-07,Constitución y justicia,secundario,revision_semantica,0.97,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18293-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18295-07,Seguridad,principal,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18295-07,Constitución y justicia,secundario,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18306-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18307-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18308-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18280-21,Pesca y acuicultura,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18309-14,Vivienda y territorio,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18310-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18311-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18312-07,Constitución y justicia,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18279-10,Relaciones exteriores,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18286-03,"Economía, comercio y consumidores",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18297-07,Derechos humanos,principal,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18297-07,Constitución y justicia,secundario,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18298-07,"Economía, comercio y consumidores",principal,hibrido_institucional_texto,0.919,0,,institutional-hybrid-v0.3
18298-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.919,0,,institutional-hybrid-v0.3
18313-08,Minería y energía,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18313-08,Constitución y justicia,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18316-02,Defensa,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18317-13,Trabajo y seguridad social,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18318-19,Ciencia y tecnología,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18319-07,"Familia, infancia y adolescencia",principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18319-07,Constitución y justicia,secundario,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18320-18,"Familia, infancia y adolescencia",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18326-18,"Familia, infancia y adolescencia",principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18296-05,Economía y hacienda,principal,hibrido_institucional_texto,0.92,0,,institutional-hybrid-v0.3
18299-35,Personas mayores y discapacidad,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18300-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18302-11,Salud,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18303-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18304-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18305-04,Educación,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18321-14,Vivienda y territorio,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18322-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18301-10,Relaciones exteriores,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18324-07,Seguridad,principal,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18324-07,Constitución y justicia,secundario,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18325-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18325-06,Deportes,secundario,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18327-07,Administración parlamentaria,principal,revision_semantica,0.98,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18327-07,Constitución y justicia,secundario,revision_semantica,0.98,0,modelo_lenguaje_piloto,institutional-hybrid-v0.3
18294-15,Transportes y telecomunicaciones,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18328-05,Gobierno interior y descentralización,principal,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18328-05,Economía y hacienda,secundario,institucional_trayectoria,0.94,0,,institutional-hybrid-v0.3
18329-06,Gobierno interior y descentralización,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
18330-07,Administración parlamentaria,principal,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18330-07,Constitución y justicia,secundario,revision_semantica,0.96,0,modelo_lenguaje_revision_completa,institutional-hybrid-v0.3
18331-17,Derechos humanos,principal,institucional_destinacion,0.97,0,,institutional-hybrid-v0.3
