deputy_id,deputy_name,party_at_term_start,source_url,source_type,confidence,note
1184,Roberto Celedón Fernández,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Roberto_Antonio_Celed%C3%B3n_Fern%C3%A1ndez,bcn_biografia,high,"BCN: electo en 2025 como independiente en cupo Frente Amplio; trayectoria parlamentaria 2026-2030 lo registra independiente."
1190,Enrique Bassaletti Riess,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Enrique_Alejandro_Bassaletti_Riess,bcn_biografia,high,"BCN: electo y asume el 11-03-2026 como independiente, en cupo Republicano."
1195,Carlos Carvajal Gallardo,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Jos%C3%A9_Carvajal_Gallardo,bcn_biografia,high,"BCN: electo en 2025 como independiente en cupo PPD."
1206,Carolina Cucumides Calderón,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carolina_Cucumides_Calder%C3%B3n,bcn_biografia,high,"BCN: electa y asume el 11-03-2026 como independiente, en cupo PS."
1207,Valentina Cáceres Monsálvez,Independientes,https://www.bcn.cl/historiapolitica/resenas_biograficas/wiki/Valentina_Bel%C3%A9n_C%C3%A1ceres_Monsalvez,bcn_biografia,high,"BCN: electa en 2025 como independiente en cupo Frente Amplio."
1210,Gustavo Gatica Villarroel,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Gustavo_Adolfo_Gatica_Villarroel,bcn_biografia,high,"BCN: electo y asume el 11-03-2026 como independiente, en cupo PC."
1225,Cristian Menchaca Pinochet,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Cristi%C3%A1n_Menchaca_Pinochet,bcn_biografia,high,"BCN: electo y asume el 11-03-2026 como independiente, en cupo Republicano."
1226,José Montalva Feuerhake,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jos%C3%A9_Montalva_Feuerhake,bcn_biografia,high,"BCN: electo y asume el 11-03-2026 como independiente, en cupo PPD."
1231,Ximena Naranjo Pinto,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ximena_Andrea_Naranjo_Pinto,bcn_biografia,high,"BCN: electa en 2025 como independiente en cupo UDI."
1242,Rodrigo Ramírez Parra,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Rodrigo_Ram%C3%ADrez_Parra,bcn_biografia,high,"BCN: electo y asume el 11-03-2026 como independiente, en cupo RN."
1249,Omar Sabat Guzmán,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Omar_Sabat_Guzm%C3%A1n,bcn_biografia,high,"BCN: electo y asume el 11-03-2026 como independiente, en cupo UDI."
1250,Bernardo Salinas Maya,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Bernardo_Antonio_Salinas_Maya,bcn_biografia,high,"BCN: electo y asume el 11-03-2026 como independiente, en cupo PC."
1261,Daniel Valenzuela Salazar,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Daniel_Valenzuela_Salazar,bcn_biografia,high,"BCN: electo en 2025 como independiente en cupo RN."
1263,Sebastián Zamora Soto,Independientes,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sebasti%C3%A1n_Nicol%C3%A1s_Zamora_Soto,bcn_biografia,high,"BCN: electo y asume el 11-03-2026 como independiente, en cupo Republicano."
